refYear,reporter,partner,partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd,dataset_type,source_side
2021,India,China,China,Import,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",19429627.023,hs2,India_reporter
2021,India,China,China,Import,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",474927767.762,hs2,India_reporter
2021,India,China,China,Import,75,Nickel and articles thereof,57495142.169,hs2,India_reporter
2021,India,China,China,Import,76,Aluminium and articles thereof,978448679.653,hs2,India_reporter
2021,India,China,China,Import,78,Lead and articles thereof,791594.186,hs2,India_reporter
2021,India,China,China,Import,79,Zinc and articles thereof,7969404.31,hs2,India_reporter
2021,India,China,China,Import,80,Tin; articles thereof,4027717.449,hs2,India_reporter
2021,India,China,China,Import,81,"Metals; n.e.c., cermets and articles thereof",286101473.852,hs2,India_reporter
2021,India,China,China,Import,99,Commodities not specified according to kind,252700311.322,hs2,India_reporter
2021,India,China,China,Import,1,Animals; live,10335.016,hs2,India_reporter
2021,India,China,China,Import,24,Tobacco and manufactured tobacco substitutes,5304404.912,hs2,India_reporter
2021,India,China,China,Import,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",881314793.949,hs2,India_reporter
2021,India,China,China,Import,29,Organic chemicals,11863208814.146,hs2,India_reporter
2021,India,China,China,Import,30,Pharmaceutical products,215756158.014,hs2,India_reporter
2021,India,China,China,Import,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",182148670.522,hs2,India_reporter
2021,India,China,China,Import,37,Photographic or cinematographic goods,50820022.164,hs2,India_reporter
2021,India,China,China,Import,39,Plastics and articles thereof,4170200163.16,hs2,India_reporter
2021,India,China,China,Import,40,Rubber and articles thereof,276245678.646,hs2,India_reporter
2021,India,China,China,Import,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",165545616.064,hs2,India_reporter
2021,India,China,China,Import,43,Furskins and artificial fur; manufactures thereof,1467288.969,hs2,India_reporter
2021,India,China,China,Import,44,Wood and articles of wood; wood charcoal,137216573.506,hs2,India_reporter
2021,India,China,China,Import,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",20596090.303,hs2,India_reporter
2021,India,China,China,Import,50,Silk,49177605.511,hs2,India_reporter
2021,India,China,China,Import,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",32248321.789,hs2,India_reporter
2021,India,China,China,Import,52,Cotton,94003109.072,hs2,India_reporter
2021,India,China,China,Import,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,80228830.029,hs2,India_reporter
2021,India,China,China,Import,54,Man-made filaments; strip and the like of man-made textile materials,992673104.869,hs2,India_reporter
2021,India,China,China,Import,55,Man-made staple fibres,440207454.253,hs2,India_reporter
2021,India,China,China,Import,57,Carpets and other textile floor coverings,18519288.049,hs2,India_reporter
