refYear,partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd
2022,China,Export,96,Miscellaneous manufactured articles,7044196.772
2022,China,Export,20,"Preparations of vegetables, fruit, nuts or other parts of plants",6684332.724
2022,China,Export,54,Man-made filaments; strip and the like of man-made textile materials,5842129.962
2022,China,Export,8,"Fruit and nuts, edible; peel of citrus fruit or melons",5531497.069
2022,China,Export,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",5257712.519
2022,China,Export,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,5122565.627
2022,China,Export,95,"Toys, games and sports requisites; parts and accessories thereof",4407701.571
2022,China,Export,35,Albuminoidal substances; modified starches; glues; enzymes,3533944.478
2022,China,Export,92,Musical instruments; parts and accessories of such articles,3374723.143
2022,China,Export,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",2982250.421
2022,China,Export,31,Fertilizers,2879523.706
2022,China,Export,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",2722804.242
2022,China,Export,5,Animal originated products; not elsewhere specified or included,2428444.869
2022,China,Export,21,Miscellaneous edible preparations,2256642.327
2022,China,Export,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1939121.154
2022,China,Export,81,"Metals; n.e.c., cermets and articles thereof",1913263.222
2022,China,Export,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1910764.964
2022,China,Export,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1695217.846
2022,China,Export,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1483758.547
2022,China,Export,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",1291400.84
2022,China,Export,79,Zinc and articles thereof,1111055.976
2022,China,Export,60,Fabrics; knitted or crocheted,507926.592
2022,China,Export,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",422796.989
2022,China,Export,91,Clocks and watches and parts thereof,411111.274
2022,China,Export,65,Headgear and parts thereof,297812.629
2022,China,Export,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",282054.669
2022,China,Export,18,Cocoa and cocoa preparations,265284.889
2022,China,Export,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",237796.441
2022,China,Export,22,"Beverages, spirits and vinegar",207499.147
2022,China,Export,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,189212.113
2022,China,Export,80,Tin; articles thereof,164952.89
2022,China,Export,43,Furskins and artificial fur; manufactures thereof,125219.894
2022,China,Export,37,Photographic or cinematographic goods,119365.535
2022,China,Export,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",100186.369
2022,China,Export,45,Cork and articles of cork,87603.483
2022,China,Export,99,Commodities not specified according to kind,80898.469
2022,China,Export,97,Works of art; collectors' pieces and antiques,17371.63
2022,China,Export,78,Lead and articles thereof,3775.932
2022,China,Export,89,"Ships, boats and floating structures",753.194
2022,China,Export,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",222.721
2023,China,Export,26,"Ores, slag and ash",3423347246.686
2023,China,Export,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",1245044083.192
2023,China,Export,29,Organic chemicals,1235400658.13
2023,China,Export,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1180011241.479
2023,China,Export,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",942681987.47
2023,China,Export,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",900059152.254
2023,China,Export,52,Cotton,833113645.277
2023,China,Export,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",723539883.816
2023,China,Export,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",677664364.896
2023,China,Export,9,"Coffee, tea, mate and spices",649245924.549
2023,China,Export,72,Iron and steel,529394915.688
2023,China,Export,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",460197158.833
2023,China,Export,74,Copper and articles thereof,350789549.706
2023,China,Export,39,Plastics and articles thereof,277921570.252
2023,China,Export,38,Chemical products n.e.c.,241729744.282
2023,China,Export,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",226830897.149
2023,China,Export,76,Aluminium and articles thereof,226373080.549
2023,China,Export,23,"Food industries, residues and wastes thereof; prepared animal fodder",221924001.788
2023,China,Export,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",210900738.782
2023,China,Export,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",119435400.983
2023,China,Export,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",112331085.959
2023,China,Export,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",111935227.248
2023,China,Export,7,Vegetables and certain roots and tubers; edible,93130509.226
2023,China,Export,73,Iron or steel articles,91510567.139
2023,China,Export,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,87251346.209
2023,China,Export,64,Footwear; gaiters and the like; parts of such articles,83176149.866
2023,China,Export,30,Pharmaceutical products,74038661.156
2023,China,Export,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",67908379.855
2023,China,Export,40,Rubber and articles thereof,65370840.899
2023,China,Export,10,Cereals,64721229.808
2023,China,Export,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",62708111.98
2023,China,Export,17,Sugars and sugar confectionery,56072175.933
2023,China,Export,41,Raw hides and skins (other than furskins) and leather,51242073.801
2023,China,Export,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",46259353.504
2023,China,Export,13,"Lac; gums, resins and other vegetable saps and extracts",44012278.369
2023,China,Export,44,Wood and articles of wood; wood charcoal,42540086.491
2023,China,Export,50,Silk,34070402.089
2023,China,Export,62,Apparel and clothing accessories; not knitted or crocheted,31434872.063
2023,China,Export,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",29101485.607
2023,China,Export,61,Apparel and clothing accessories; knitted or crocheted,27928023.539
2023,China,Export,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",25345873.008
2023,China,Export,55,Man-made staple fibres,23512137.364
2023,China,Export,70,Glass and glassware,21075711.909
2023,China,Export,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",17088543.125
2023,China,Export,57,Carpets and other textile floor coverings,14661325.451
2023,China,Export,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",13653752.657
2023,China,Export,88,"Aircraft, spacecraft, and parts thereof",12933524.581
2023,China,Export,20,"Preparations of vegetables, fruit, nuts or other parts of plants",12356975.639
2023,China,Export,83,Metal; miscellaneous products of base metal,11231798.164
2023,China,Export,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,10792747.727
2023,China,Export,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",9879838.864
