partner_group,flow_india,cmdCode,cmdDesc,trade_value_usd,partner_flow_total_usd,sample_share
China,Import,79,Zinc and articles thereof,35085486.493,497514038904.799,7.052160089840948e-05
China,Import,5,Animal originated products; not elsewhere specified or included,30138405.445,497514038904.799,6.057799999241245e-05
China,Import,80,Tin; articles thereof,27154037.205,497514038904.799,5.4579439134572876e-05
China,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",24737833.059,497514038904.799,4.972288443047065e-05
China,Import,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,23789342.707000002,497514038904.799,4.7816424958315944e-05
China,Import,22,"Beverages, spirits and vinegar",18549793.586999997,497514038904.799,3.728496511944573e-05
China,Import,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",16614093.681,497514038904.799,3.339422082957374e-05
China,Import,97,Works of art; collectors' pieces and antiques,14696732.518000001,497514038904.799,2.954033729450652e-05
China,Import,24,Tobacco and manufactured tobacco substitutes,12225038.561999999,497514038904.799,2.457224843124337e-05
China,Import,43,Furskins and artificial fur; manufactures thereof,8091528.995,497514038904.799,1.6263920939421653e-05
China,Import,78,Lead and articles thereof,6863292.566,497514038904.799,1.3795173662050798e-05
China,Import,88,"Aircraft, spacecraft and parts thereof",6062570.561,497514038904.799,1.21857276115179e-05
China,Import,18,Cocoa and cocoa preparations,5324598.317,497514038904.799,1.0702408174694502e-05
China,Import,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",4656534.242000001,497514038904.799,9.359603705356029e-06
China,Import,45,Cork and articles of cork,3238686.614,497514038904.799,6.5097391445063e-06
China,Import,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",2251149.593,497514038904.799,4.524796120237252e-06
China,Import,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",2245176.6689999998,497514038904.799,4.51279058163346e-06
China,Import,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",2001064.042,497514038904.799,4.0221257804202595e-06
China,Import,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1871880.767,497514038904.799,3.7624682332998258e-06
China,Import,93,Arms and ammunition; parts and accessories thereof,1632238.654,497514038904.799,3.280789136308844e-06
China,Import,1,Animals; live,355714.139,497514038904.799,7.149831184322964e-07
China,Import,10,Cereals,113445.015,497514038904.799,2.2802374632428832e-07
European Union,Export,29,Organic chemicals,36712161547.582,310109029674.586,0.11838469065575433
