partner_group,flow_india,cmdCode,cmdDesc,share_2020,share_2024,share_change,exposure_score
European Union,Import,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.002080725783034087,0.0026951261880534647,0.0006144004050193776,0.0033095265930728423
European Union,Import,70,Glass and glassware,0.0033795711040825256,0.0029367459599989347,-0.00044282514408359097,0.0024939208159153437
European Union,Import,81,"Metals; n.e.c., cermets and articles thereof",0.0015390885477128322,0.0019793648517021597,0.0004402763039893275,0.002419641155691487
European Union,Import,17,Sugars and sugar confectionery,0.001957172207430934,0.002096066064269058,0.00013889385683812407,0.002234959921107182
European Union,Import,31,Fertilizers,0.0021004741887068017,0.002144885509261396,4.441132055459443e-05,0.0021892968298159905
European Union,Import,7,Vegetables and certain roots and tubers; edible,0.00021786399067554032,0.0010848219227418637,0.0008669579320663234,0.0019517798548081872
European Union,Import,18,Cocoa and cocoa preparations,0.0006056542942830531,0.0012710590446862935,0.0006654047504032404,0.001936463795089534
European Union,Import,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",0.0014208473094294448,0.0015488601988710743,0.00012801288944162955,0.0016768730883127039
European Union,Import,23,"Food industries, residues and wastes thereof; prepared animal fodder",0.0014734905902499486,0.001566441069624299,9.295047937435039e-05,0.0016593915489986494
European Union,Import,8,"Fruit and nuts, edible; peel of citrus fruit or melons",0.0012916026904027415,0.0014284758164753394,0.00013687312607259792,0.0015653489425479373
European Union,Import,54,Man-made filaments; strip and the like of man-made textile materials,0.0007735597092751177,0.0011292448824403354,0.00035568517316521763,0.001484930055605553
European Union,Import,37,Photographic or cinematographic goods,0.0009106887414396961,0.0011471259750582452,0.00023643723361854913,0.0013835632086767944
European Union,Import,41,Raw hides and skins (other than furskins) and leather,0.0022516681994293863,0.0017445252370273331,-0.0005071429624020532,0.00123738227462528
European Union,Import,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",0.0005769292746597256,0.0008858096045556651,0.00030888032989593943,0.0011946899344516045
European Union,Import,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",0.0006521366604765503,0.000894415586167913,0.00024227892569136272,0.0011366945118592756
European Union,Import,21,Miscellaneous edible preparations,0.000877949588772326,0.000981257690553919,0.00010330810178159312,0.0010845657923355123
European Union,Import,78,Lead and articles thereof,0.00044334140504191264,0.0007371930861143058,0.0002938516810723932,0.001031044767186699
European Union,Import,6,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",0.00033821880864593753,0.0006760049765564621,0.0003377861679105246,0.0010137911444669868
European Union,Import,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",0.0009549817603893866,0.0009578718656333914,2.890105244004776e-06,0.0009607619708773961
European Union,Import,95,"Toys, games and sports requisites; parts and accessories thereof",0.0009491571840000166,0.0008991578299311963,-4.999935406882028e-05,0.000849158475862376
European Union,Import,93,Arms and ammunition; parts and accessories thereof,0.000591161779402701,0.0006706104432010855,7.944866379838451e-05,0.00075005910699947
European Union,Import,26,"Ores, slag and ash",0.0007948784956409492,0.0007589103465340212,-3.596814910692802e-05,0.0007229421974270932
European Union,Import,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00034097977597091647,0.0005172688125942346,0.00017628903662331814,0.0006935578492175528
European Union,Import,96,Miscellaneous manufactured articles,0.000977346588011022,0.0008340841251688754,-0.00014326246284214667,0.0006908216623267287
European Union,Import,62,Apparel and clothing accessories; not knitted or crocheted,0.001185033651677081,0.0009328191882235222,-0.0002522144634535589,0.0006806047247699632
European Union,Import,9,"Coffee, tea, mate and spices",0.0005747949561643546,0.0006266921273667881,5.189717120243349e-05,0.0006785892985692216
European Union,Import,89,"Ships, boats and floating structures",0.0005506125304480149,0.0005914950044873815,4.0882474039366686e-05,0.0006323774785267482
European Union,Import,4,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0.0006970973113280685,0.0006625306020371153,-3.456670929095321e-05,0.0006279638927461621
European Union,Import,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",0.0013199869536707587,0.0009604543822120659,-0.00035953257145869273,0.0006009218107533732
European Union,Import,97,Works of art; collectors' pieces and antiques,0.00015120307779543154,0.0003751566770856908,0.00022395359929025928,0.00059911027637595
European Union,Import,64,Footwear; gaiters and the like; parts of such articles,0.000823381026243181,0.0007048322571073088,-0.00011854876913587218,0.0005862834879714366
European Union,Import,20,"Preparations of vegetables, fruit, nuts or other parts of plants",0.0003167044706550133,0.00043030321043429736,0.00011359873977928407,0.0005439019502135815
European Union,Import,61,Apparel and clothing accessories; knitted or crocheted,0.0008828702293711722,0.0006928711214313591,-0.00018999910793981317,0.0005028720134915459
European Union,Import,91,Clocks and watches and parts thereof,0.00018225457149559306,0.00033245921479576343,0.00015020464330017038,0.0004826638580959338
European Union,Import,13,"Lac; gums, resins and other vegetable saps and extracts",0.0007343798162116999,0.0006014850769943464,-0.0001328947392173535,0.00046859033777699286
European Union,Import,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",0.0002967492042838093,0.0003323742495941448,3.562504531033552e-05,0.0003679992949044803
European Union,Import,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,0.0002449364325949289,0.00029452058028996885,4.958414769503993e-05,0.0003441047279850088
European Union,Import,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",0.0005873011927797203,0.0004581308878349246,-0.00012917030494479566,0.00032896058289012895
European Union,Import,57,Carpets and other textile floor coverings,0.00022896826297441717,0.00027406909096450616,4.510082799008899e-05,0.00031916991895459515
European Union,Import,52,Cotton,0.00039468291294370814,0.0003291291447390161,-6.555376820469207e-05,0.000263575376534324
European Union,Import,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",0.00024093393835912955,0.0002245029977662792,-1.6430940592850355e-05,0.00020807205717342884
European Union,Import,10,Cereals,0.00011871038413372477,0.00014706046207701515,2.8350077943290383e-05,0.00017541054002030552
European Union,Import,60,Fabrics; knitted or crocheted,0.00026231085279610145,0.00020800196947342496,-5.430888332267649e-05,0.00015369308615074848
European Union,Import,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",0.00034634193262713243,0.00024383276723310382,-0.00010250916539402861,0.00014132360183907521
European Union,Import,45,Cork and articles of cork,0.00011432229283841757,0.00011774230505970669,3.4200122212891165e-06,0.0001211623172809958
European Union,Import,5,Animal originated products; not elsewhere specified or included,0.00024242696887794246,0.00016573752137658178,-7.668944750136069e-05,8.904807387522109e-05
European Union,Import,2,Meat and edible meat offal,4.0284853655790244e-05,6.18300515334936e-05,2.1545197877703356e-05,8.337524941119696e-05
European Union,Import,80,Tin; articles thereof,5.599149649149464e-05,6.605620900619475e-05,1.006471251470011e-05,7.612092152089485e-05
European Union,Import,65,Headgear and parts thereof,5.33821303079531e-05,5.495692065053302e-05,1.5747903425799241e-06,5.653171099311295e-05
European Union,Import,50,Silk,1.088135467447059e-05,2.4471932273291128e-05,1.3590577598820537e-05,3.806250987211166e-05
European Union,Import,43,Furskins and artificial fur; manufactures thereof,4.884893317977552e-05,3.553479525056285e-05,-1.331413792921267e-05,2.2220657321350183e-05
European Union,Import,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1.1508465063543513e-05,1.6142604763702132e-05,4.634139700158619e-06,2.077674446386075e-05
European Union,Import,92,Musical instruments; parts and accessories of such articles,2.487293955861462e-05,2.0993103412720722e-05,-3.879836145893898e-06,1.7113267266826824e-05
European Union,Import,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",4.178790743806867e-06,3.6941918329328214e-06,-4.845989108740457e-07,3.2095929220587757e-06
European Union,Import,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",5.687581438728123e-06,4.411486483178269e-06,-1.276094955549854e-06,3.1353915276284154e-06
European Union,Import,3,"Fish and crustaceans, molluscs and other aquatic invertebrates",8.614047215121584e-05,4.374493779232288e-05,-4.239553435889296e-05,1.3494034334299228e-06
European Union,Import,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,3.1541806933286797e-06,1.1642612505514011e-06,-1.9899194427772783e-06,-8.256581922258772e-07
European Union,Import,1,Animals; live,0.00012686614949629474,5.80504624789053e-05,-6.881568701738944e-05,-1.0765224538484143e-05
European Union,Import,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",0.006224342124799363,0.0021607137940078086,-0.0040636283307915536,-0.001902914536783745
European Union,Import,99,Commodities not specified according to kind,0.0052354135131546286,0.00025638827468479224,-0.0049790252384698365,-0.0047226369637850445
European Union,Import,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.09867510640528245,0.04257296278136747,-0.056102143623914975,-0.013529180842547506
European Union,Import,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",,0.0020137755758893754,,
European Union,Import,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",,1.155762619106797e-05,,
